id,artist,title,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature
6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Dizzy up the Girl,0.315,0.715,11,-8.072,0,0.0362,0.00125,7.97e-06,0.0942,0.497,155.925,audio_features,289533,3
4pGqFOfzvfe6avb9kbZicC,The Neighbourhood,Sweater Weather,I'm Sorry...,0.695,0.615,7,-5.325,0,0.042,0.15,0.000212,0.0879,0.414,124.015,audio_features,240040,4
1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,The Thrill Of It All (Special Edition),0.681,0.372,5,-8.237,1,0.0432,0.64,0,0.169,0.476,91.873,audio_features,201000,4
7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,audio_features,220734,4
3FeVmId7tL5YN8B7R3imoM,Coldplay,My Universe,My Universe,0.588,0.701,9,-6.39,1,0.0402,0.00813,0,0.2,0.443,104.988,audio_features,228000,4
45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,you broke me first,0.667,0.373,4,-9.389,1,0.05,0.785,0,0.0906,0.0823,124.148,audio_features,169266,4
5jsw9uXEGuKyJzs0boZ1bT,Shawn Mendes,Stitches,Handwritten,0.752,0.754,1,-6.684,1,0.0615,0.0151,0,0.0486,0.755,149.789,audio_features,206880,4
2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Divinely Uninspired To A Hellish Extent (Extended Edition),0.459,0.575,3,-4.858,1,0.0573,0.604,0,0.0885,0.183,111.881,audio_features,215107,4
6lfxq3CG4xtTiEg7opyCyx,Kina Grannis,Can't Help Falling In Love,Crazy Rich Asians (Original Motion Picture Soundtrack),0.266,0.0596,0,-18.515,1,0.0363,0.905,7.07e-05,0.132,0.143,181.74,audio_features,201933,3
135Lf4Q0CzlMNfOxbEUsLH,Benson Boone,GHOST TOWN,GHOST TOWN,0.391,0.335,0,-10.064,1,0.0763,0.389,0,0.102,0.116,174.185,audio_features,193733,3
0aOluBqXYd0rFSCsgDyAWX,Hozier,Take Me to Church,Hozier,0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.07,audio_features,241693,4
6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Fine Line,0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,audio_features,174000,4
77loZpT5Y5PRP1S451P9Yz,Hoobastank,The Reason,The Reason (15th Anniversary Deluxe),0.472,0.671,4,-4.649,1,0.029,0.0129,0,0.159,0.0681,82.952,audio_features,232800,4
2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,Someone You Loved,Breach,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,audio_features,182161,4
7LyBwug9tJgbaEzRCqtY78,Niall Horan,Put A Little Love On Me,Heartbreak Weather,0.589,0.471,10,-4.908,1,0.0262,0.674,0,0.105,0.262,95.972,audio_features,224586,4
3H3r2nKWa3Yk5gt8xgmsEt,Sam Fischer,This City,This City,0.605,0.377,11,-6.213,1,0.0443,0.733,0,0.0808,0.519,73.877,audio_features,194853,4
6381LuSv4WvXy5MSrvahwk,Enrique Iglesias,Hero,Greatest Hits,0.562,0.622,7,-6.172,1,0.0419,0.132,3.53e-05,0.104,0.161,76.023,audio_features,264560,4
4T6FWA703h6H7zk1FoSARw,John Mayer,New Light,Sob Rock,0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932,audio_features,217427,4
0ecC8p17cDNlxHXkuYqeR6,Natalie Taylor,Surrender,Surrender,0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,audio_features,183103,5
7soJgKhQTO8hLP2JPRkL5O,Charlie Puth,One Call Away,Nine Track Mind,0.667,0.613,1,-5.353,1,0.0344,0.403,0,0.115,0.47,91.024,audio_features,194453,4
6700Z4Izi8EbB6JNthU6Ma,Lewis Capaldi,Hold Me While You Wait,Hold Me While You Wait,0.688,0.53,11,-5.507,1,0.0333,0.443,0,0.0995,0.162,106.958,audio_features,205687,4
3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Fine Line,0.676,0.771,8,-3.675,1,0.0483,0.0237,7e-06,0.102,0.569,99.048,audio_features,207133,4
34gCuhDGsG4bRPIf9bb02f,Ed Sheeran,Thinking out Loud,x (Deluxe Edition),0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,audio_features,281560,4
009ImBOrIUlWgla8U05RAC,Katy Perry,Unconditionally,PRISM,0.432,0.725,7,-4.862,1,0.0431,0.00273,0,0.208,0.353,128.902,audio_features,228879,4
4HBZA5flZLE435QTztThqH,Ariana Grande,Stuck with U (with Justin Bieber),Stuck with U,0.597,0.45,8,-6.658,1,0.0418,0.223,0,0.382,0.537,178.765,audio_features,228482,3
35ovElsgyAtQwYPYnZJECg,Rihanna,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),0.247,0.299,9,-6.083,1,0.0315,0.899,0,0.131,0.172,177.115,audio_features,196520,4
7GgWAITsYJaRM3r50rfh5w,Adele,When We Were Young,25,0.376,0.595,3,-5.936,1,0.0496,0.303,0,0.095,0.265,144.361,audio_features,290900,4
0IktbUcnAGrvD03AWnz3Q8,Jason Mraz,Lucky,We Sing. We Dance. We Steal Things.,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,audio_features,189613,4
2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",0.654,0.63,10,-4.644,1,0.0259,0.153,0,0.111,0.43,89.991,audio_features,167693,4
5Ohxk2dO5COHF1krpoPigN,Harry Styles,Sign of the Times,Harry Styles,0.516,0.595,5,-4.63,1,0.0313,0.0275,0,0.109,0.222,119.972,audio_features,340707,4
50kpGaPAhYJ3sGmk6vplg0,Justin Bieber,Love Yourself,Purpose (Deluxe),0.609,0.378,4,-9.828,1,0.438,0.835,0,0.28,0.515,100.418,audio_features,233720,4
4llK75pXNWZz6KAho2Gp16,Maroon 5,She Will Be Loved - Radio Mix,Songs About Jane: 10th Anniversary Edition,0.651,0.663,0,-5.569,0,0.0281,0.228,0,0.0994,0.465,102.0,audio_features,259453,4
1c8gk2PeTE04A1pIDH9YMk,Adele,Rolling in the Deep,21,0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,audio_features,228093,4
5Hroj5K7vLpIG4FNCRIjbP,American Authors,Best Day Of My Life,"Oh, What A Life",0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,audio_features,194240,4
0AS63m1wHv9n4VVRizK6Hc,Shawn Mendes,Mercy,Illuminate (Deluxe),0.555,0.662,11,-4.952,0,0.0827,0.125,0,0.111,0.356,148.128,audio_features,208733,4
6Vc5wAMmXdKIAM7WUoEb7N,A Great Big World,Say Something,Is There Anybody Out There?,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,audio_features,229400,3
2BOqDYLOJBiMOXShCV1neZ,Calum Scott,Dancing On My Own,Only Human (Deluxe),0.681,0.174,1,-8.745,1,0.0315,0.837,3.35e-05,0.0983,0.231,112.672,audio_features,260285,4
2YlZnw2ikdb837oKMKjBkW,Meghan Trainor,Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),0.63,0.53,0,-7.259,1,0.0434,0.4,0,0.177,0.417,108.038,audio_features,225053,3
4Im6GRj17qa7NW76OsJh1s,John Mayer,I Guess I Just Feel Like,Sob Rock,0.548,0.483,4,-9.102,1,0.0268,0.515,0.0674,0.0922,0.166,159.952,audio_features,286387,4
3yMC1KsTwh0ceXdIe4QQAQ,Lauren Spencer Smith,Fingers Crossed,Fingers Crossed,0.56,0.473,5,-7.23,1,0.0533,0.618,0,0.31,0.441,109.414,audio_features,175345,4
0HZhYMZOcUzZKSFwPOti6m,Christina Perri,Jar of Hearts,lovestrong.,0.349,0.348,3,-6.142,1,0.0316,0.726,0,0.12,0.0886,74.541,audio_features,246587,4
5FgPwJ7Nh2FVmIXviKl2VF,Adele,Make You Feel My Love,19,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,audio_features,212040,3
6aDsgHPZsMztSbZernzlF8,OneRepublic,Someday,Human (Deluxe),0.576,0.679,0,-7.237,1,0.034,0.0311,0,0.323,0.213,121.005,audio_features,187889,4
22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,Happiness Begins,0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,audio_features,181027,4
6TMrokW46YDdUQu1L51cK8,Collapse Under The Empire,Seven,Everything We Will Leave Beyond Us,0.415,0.72,7,-7.619,0,0.0298,0.00629,0.944,0.175,0.436,180.172,audio_features,206173,4
5uCLvxaJVHAn82wiHpCEpq,We Lost The Sea,Nuclear City,The Quietest Place On Earth,0.505,0.0839,1,-19.878,0,0.0331,0.98,0.777,0.125,0.0511,72.463,audio_features,133640,4
7nAn6HOtgyPVeCkoifY0XZ,If These Trees Could Talk,The Here and Hereafter,The Bones of a Dying World,0.493,0.272,11,-10.324,1,0.0257,0.981,0.852,0.103,0.0487,114.28,audio_features,153947,4
6CVXBVQ74lReZsYEj7Gouz,Oh Hiroshima,This is not the end,Resistance is futile,0.464,0.821,2,-6.151,0,0.0285,0.189,0.797,0.133,0.139,100.02,audio_features,173707,4
05iEquGKfKdtdiWbfRkFEa,Red Sparowes,Truths Arise,"The Fear Is Excruciating, But Therein Lies The Answer",0.271,0.25,4,-9.95,1,0.0362,0.0849,0.94,0.0966,0.0311,110.805,audio_features,109213,4
3d7MZTEcBmI3eKwkc3zp9E,sleepmakeswaves,A Little Spark,Love Of Cartography,0.158,0.15,6,-17.535,0,0.0377,0.823,0.94,0.108,0.0363,108.14,audio_features,192086,4
5JqWtPTleDsaouHvIYprUW,Mooncake,L5,Lagrange Points,0.301,0.0271,5,-25.289,1,0.0397,0.995,0.956,0.106,0.0391,129.384,audio_features,67000,4
3yk6FNooYqGuaked4Tm5MB,God Is An Astronaut,Infinite Horizons,"All Is Violent, All Is Bright (2011 Remastered Edition)",0.237,0.198,11,-14.434,0,0.0411,0.467,0.916,0.105,0.0628,126.759,audio_features,145453,4
0TqnWv2gJ4Byw0amQwUE6x,If These Trees Could Talk,Above the Earth,"Above the Earth, Below the Sky",0.513,0.504,0,-10.259,1,0.029,0.0555,0.838,0.166,0.0875,100.021,audio_features,139293,3
1fMQ3xZqPn5K87R7COXM23,Russian Circles,Memoriam,Memorial,0.21,0.0921,3,-22.751,0,0.041,0.384,0.821,0.29,0.0331,120.213,audio_features,88351,3
3cIG78oBauowzEbkBwWADN,This Will Destroy You,They Move on Tracks of Never-Ending Light,S/T,0.645,0.188,6,-19.37,1,0.0377,0.546,0.836,0.0952,0.0748,119.999,audio_features,416333,4
7J0XW1eGRu9t7JbW1hZgtU,Maserati,Kalinichta - Remastered,Inventions for the New Season (Anniversary Edition),0.646,0.455,0,-15.382,1,0.0479,0.95,0.847,0.123,0.535,115.049,audio_features,106782,3
2Hqnf6UMYU2oJBAjuePRuf,sleepmakeswaves,Made of Breath Only,Made of Breath Only,0.281,0.32,1,-13.624,0,0.0439,0.527,0.809,0.0832,0.038,165.868,audio_features,188957,4
1HUuG6RvLS4SIeMoBF8P8J,Mooncake,L2,Lagrange Points,0.479,0.255,2,-15.812,1,0.0358,0.693,0.827,0.162,0.166,105.016,audio_features,97867,4
1Ykac2BTEY52FDysHvlpTs,If These Trees Could Talk,Aleutian Clouds,Red Forest,0.403,0.772,9,-7.465,0,0.035,0.00922,0.887,0.109,0.0647,142.011,audio_features,183240,3
5tVKO8f1v0aTBuOllPxqX0,Russian Circles,Hunter Moon,Blood Year,0.273,0.0575,9,-24.132,1,0.042,0.0907,0.851,0.0917,0.0595,70.234,audio_features,140293,4
568nXF19QXYPZnQ6XSkuSH,God Is An Astronaut,"All Is Violent, All Is Bright","All Is Violent, All Is Bright (2011 Remastered Edition)",0.239,0.596,6,-9.449,1,0.0311,0.0915,0.79,0.27,0.196,169.833,audio_features,251067,4
54JL7N5nf7vAt3foSarQBy,This Will Destroy You,Sleep - Bonus Track,Young Mountain (10th Anniversary Edition),0.49,0.493,1,-8.326,1,0.0287,0.0955,0.807,0.0919,0.0606,119.99,audio_features,175040,4
2SOBZYvAUeU0qZjUZFKcxa,Collapse Under The Empire,Far to the Past,Find a Place to Be Safe,0.537,0.83,10,-8.04,0,0.0287,0.242,0.902,0.227,0.376,124.993,audio_features,215680,4
5dK4eZCFfgNBJtzMwok9Rv,sleepmakeswaves,Glacial,Made of Breath Only,0.156,0.606,2,-5.44,1,0.0685,0.124,0.842,0.1,0.0315,107.673,audio_features,234236,4
4Wj2bYFGgcoYyOfpOawvsn,If These Trees Could Talk,Deus Ex Machina,"Above the Earth, Below the Sky",0.268,0.554,2,-11.457,1,0.0346,0.839,0.901,0.109,0.0929,127.421,audio_features,143627,4
1KR2MV6vilsic5VMprc4Fp,We Lost The Sea,The Vessel,Crimea (Remastered),0.313,0.0573,10,-18.796,0,0.0413,0.884,0.891,0.101,0.0577,140.082,audio_features,177110,4
0Zb6tysli0nxgJ3TN6Nmx0,Spurv,Et blekt lys lyder,Myra,0.381,0.643,3,-9.171,0,0.0337,0.115,0.865,0.14,0.214,137.977,audio_features,328613,4
4m55btBd5hMnrfAyfjCGcU,God Is An Astronaut,Autumn Song,Origins,0.433,0.332,3,-14.76,0,0.0341,0.778,0.936,0.0936,0.0383,121.919,audio_features,227936,4
5gKOsci56ItnPBZO62I4i3,This Will Destroy You,Grandfather Clock,Young Mountain,0.556,0.559,10,-13.961,0,0.0348,0.684,0.85,0.152,0.142,96.007,audio_features,157560,4
391wCckW8VlK0qbWAtDq5T,Caspian,Separation No. 2,Dust and Disquiet,0.0813,0.0601,2,-22.337,0,0.0391,0.966,0.942,0.138,0.0388,76.907,audio_features,188840,4
3an4AA3vBuzfdyyQF4nsvF,If These Trees Could Talk,Swallowing Teeth,The Bones of a Dying World,0.481,0.617,8,-8.194,0,0.0335,0.0011,0.838,0.102,0.0369,124.956,audio_features,267200,4
3S0ZwJqgaYIiJjBf5POO19,sleepmakeswaves,Exits To Nowhere,In Today Already Walks Tomorrow,0.271,0.311,3,-11.914,1,0.0348,0.239,0.911,0.261,0.0372,113.377,audio_features,220627,5
3CEdgp6a7A3cIgCKq2wmAg,Collapse Under The Empire,Giants,Shoulders & Giants,0.541,0.584,9,-6.667,0,0.0288,0.278,0.95,0.19,0.179,130.013,audio_features,286154,4
6tDXrV99vKrB4ovVDNA9pw,God Is An Astronaut,First Day of Sun,God Is an Astronaut (2011 Remastered Edition),0.373,0.256,5,-13.078,1,0.0318,0.843,0.913,0.105,0.064,87.906,audio_features,215747,4
4h2kfyMJpi62m99PAtkxgN,Those Who Ride With Giants,The Scent of the Old Ocean,Numinous,0.375,0.46,4,-9.877,0,0.0285,0.000136,0.823,0.152,0.0726,165.019,audio_features,265200,3
5cAABCn72dcJRhAHhjNNO5,The Seven Mile Journey,Departures,Notes for the Synthesis,0.229,0.217,6,-11.581,0,0.0396,0.97,0.461,0.0744,0.0812,71.584,audio_features,120013,4
0zBhxEFasoUtceXbWMZEA4,If These Trees Could Talk,What's in the Ground Belongs to You,"Above the Earth, Below the Sky",0.49,0.819,7,-7.77,1,0.0414,0.00121,0.822,0.187,0.101,105.105,audio_features,254120,3
64MimfdzjqHsBpxr8pUuCR,sleepmakeswaves,"It's Dark, It's Cold, It's Winter",In Today Already Walks Tomorrow,0.4,0.299,4,-17.903,1,0.0332,0.903,0.924,0.0701,0.0471,87.922,audio_features,285613,3
4cjRiT6COzETZ3mWQXydnr,The Best Pessimist,Above the Fog (Pt.2),Love Is...,0.26,0.396,1,-8.598,0,0.0313,0.0684,0.819,0.29,0.0651,158.717,audio_features,526120,3
2A9ykxzjbc0uLg2lLl6Wgz,God Is An Astronaut,Parallel Highway,Age of the Fifth Sun,0.405,0.806,2,-9.446,0,0.0281,0.00402,0.784,0.0662,0.442,96.002,audio_features,236000,4
